"STATISTIC","Statistic Label","TLIST(A1)","Year","C03341V04028","Stamp Duty Event","C03721V04469","Transaction Class","C03789V04537","Local Authority Area","UNIT","VALUE"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","110","Sole transactions","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","130"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","110","Sole transactions","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","660"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","110","Sole transactions","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","160"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","110","Sole transactions","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","280"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","110","Sole transactions","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","210"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","110","Sole transactions","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","200"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","110","Sole transactions","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","320"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","110","Sole transactions","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","310"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","IE0","Ireland","Number","9060"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","210"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","240"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","140"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","740"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","80"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","1050"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","660"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","260"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","700"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","260"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","160"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","520"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","150"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","270"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","60"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","210"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","290"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","70"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","120"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","450"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","70"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","Number","180"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","90"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","100"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","680"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","130"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","210"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","200"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","150"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","330"
"CRP02C1","Volume of Sales","2010","2010","01","Filings","120","Joint transactions","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","320"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","IE0","Ireland","Number","17930"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","340"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","430"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","250"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","1570"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","180"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","2370"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","1250"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","510"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","1340"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","460"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","340"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","940"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","290"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","490"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","120"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","420"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","650"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","120"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","280"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","780"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","140"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","Number","330"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","200"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","220"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","1280"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","270"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","430"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","380"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","330"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","620"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","-","All Transactions","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","620"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","IE0","Ireland","Number","9420"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","200"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","220"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","140"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","810"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","100"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","1400"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","580"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","270"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","660"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","230"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","190"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","430"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","150"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","260"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","60"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","240"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","380"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","60"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","160"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","370"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","80"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","Number","190"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","120"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","120"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","630"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","150"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","240"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","190"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","200"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","310"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","110","Sole transactions","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","300"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","IE0","Ireland","Number","8510"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","140"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","210"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","110"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","760"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","90"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","960"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","680"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","240"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","680"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","230"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","150"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","500"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","140"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","240"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","50"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","180"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","270"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","60"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","120"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","410"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","60"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","Number","150"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","80"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","100"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","650"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","120"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","180"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","190"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","130"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","320"
"CRP02C1","Volume of Sales","2010","2010","02","Executions","120","Joint transactions","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","320"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","IE0","Ireland","Number","16810"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","500"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","390"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","260"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","1470"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","210"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","2240"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","1160"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","500"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","1040"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","460"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","350"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","750"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","330"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","520"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","110"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","440"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","690"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","170"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","280"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","640"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","130"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","Number","350"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","180"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","210"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","930"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","210"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","450"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","450"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","310"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","530"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","-","All Transactions","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","590"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","IE0","Ireland","Number","8390"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","280"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","180"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","140"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","670"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","110"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","1290"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","480"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","230"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","440"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","220"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","190"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","330"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","170"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","240"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","60"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","260"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","380"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","90"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","160"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","300"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","60"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","Number","200"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","110"
"CRP02C1","Volume of Sales","2011","2011","01","Filings","110","Sole transactions","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","110"
